,context,question,answer
116,"Kaci Hickox, a nurse placed under mandatory quarantine in New Jersey, went on CNN on Sunday and criticized the ""knee-jerk reaction by politicians"" to Ebola, saying ""to quarantine someone without a better plan in place, without more forethought, is just preposterous."" 

Hickox, an epidemiologist who was working to help treat Ebola patients in Sierra Leone, has tested negative twice for Ebola and does not have symptoms, she said. She is quarantined for 21 days at University Hospital in Newark. 

""This is an extreme that is really unacceptable, and I feel like my basic human rights have been violated,"" Hickox told CNN's Candy Crowley on ""State of the Union."" 

She described herself as ""physically strong"" but ""emotionally exhausted."" 

""To put me through this emotional and physical stress is completely unacceptable,"" she said. 

She slammed New Jersey Gov. Chris Christie for describing her as ""obviously ill."" 

""First of all, I don't think he's a doctor; secondly, he's never laid eyes on me; and thirdly, I've been asymptomatic since I've been here,"" Hickox told Crowley Sunday. 

In a separate interview with CNN Senior Medical Correspondent Elizabeth Cohen, Hickox elaborated on what she thought of Christie's assessment of her medical condition. 

""I'm sorry, but that's just a completely unacceptable statement in my opinion. For (Christie) -- a politician who's trusted and respected -- to make a statement that's categorically not true is just unacceptable and appalling."" 

What would mandatory quarantines do? 

""She's fine. She's not sick."" 

Hickox told Crowley that mandatory quarantine is ""not a sound public health decision"" and that public health officials -- not politicians -- should be making the policies related to Ebola and public safety. ",Who does she think should make those decisions?, and that public health officials -- not politicians -- should be making the policies related to Ebola and public safety.
117,"Bollywood formally known as Hindi cinema is the Indian Hindi language film industry, based in the city of Mumbai, Maharashtra, India. Bollywood is only a part of the larger cinema of India also known as Indywood, which includes other production centers producing blockbuster films in many other Indian languages. 

By revenue, Bollywood is the largest film producer in India, representing 43% of the net box office, while Telugu and Tamil cinema represent 36%, and the rest of the regional cinema constitutes 21% as of 2014. Bollywood is also one of the largest centers of film production in the world. Furthermore, Bollywood is one of the biggest film industries in the world in terms of the number of people employed and the number of films produced. According to J. Matusitz and P. Payano, in 2011, over 3.5 billion tickets were sold across the globe, which in comparison is 900,000 tickets more than Hollywood. Bollywood produced 252 films in 2014 out of a total of 1969 films produced in Indian cinema. 

The name ""Bollywood"" is a portmanteau derived from Bombay (the former name for Mumbai) and Hollywood (in California), the center of the American film industry. The naming scheme for ""Bollywood"" was inspired by ""Tollywood"", the name that was used to refer to the cinema of West Bengal. Dating back to 1932, ""Tollywood"" was the earliest Hollywood-inspired name, referring to the Bengali film industry based in Tollygunge (in Calcutta, West Bengal), whose name is reminiscent of ""Hollywood"" and was the centre of the cinema of India at the time. It was this ""chance juxtaposition of two pairs of rhyming syllables,"" Holly and Tolly, that led to the portmanteau name ""Tollywood"" being coined. The name ""Tollywood"" went on to be used as a nickname for the Bengali film industry by the popular Calcutta-based ""Junior Statesman"" youth magazine, establishing a precedent for other film industries to use similar-sounding names, eventually leading to the coining of ""Bollywood"". ""Tollywood"" is now also popularly used to refer to the Telugu film industry in Telangana and Andhra Pradesh.",What is it formally known as?,Bollywood formally known as Hindi cinema
118,"Perl is a family of high-level, general-purpose, interpreted, dynamic programming languages. The languages in this family include Perl 5 and Perl 6. 

Though Perl is not officially an acronym, there are various backronyms in use, including ""Practical Extraction and Reporting Language"". Perl was originally developed by Larry Wall in 1987 as a general-purpose Unix scripting language to make report processing easier. Since then, it has undergone many changes and revisions. Perl 6, which began as a redesign of Perl 5 in 2000, eventually evolved into a separate language. Both languages continue to be developed independently by different development teams and liberally borrow ideas from one another. 

The Perl languages borrow features from other programming languages including C, shell script (sh), AWK, and sed. They provide powerful text processing facilities without the arbitrary data-length limits of many contemporary Unix commandline tools, facilitating easy manipulation of text files. Perl 5 gained widespread popularity in the late 1990s as a CGI scripting language, in part due to its then unsurpassed regular expression and string parsing abilities. 

In addition to CGI, Perl 5 is used for system administration, network programming, finance, bioinformatics, and other applications, such as for GUIs. It has been nicknamed ""the Swiss Army chainsaw of scripting languages"" because of its flexibility and power, and also its ugliness. In 1998, it was also referred to as the ""duct tape that holds the Internet together"", in reference to both its ubiquitous use as a glue language and its perceived inelegance.",What type of family is it?,Perl is a family of high-level
119,"The Parliament of England was the legislature of the Kingdom of England, existing from the early 13th century until 1707, when it became the Parliament of Great Britain after the political union of England and Scotland created the Kingdom of Great Britain. 

In 1066, William of Normandy introduced what, in later centuries, became referred to as a feudal system, by which he sought the advice of a council of tenants-in-chief (a person who held land) and ecclesiastics before making laws. In 1215, the tenants-in-chief secured Magna Carta from King John, which established that the king may not levy or collect any taxes (except the feudal taxes to which they were hitherto accustomed), save with the consent of his royal council, which gradually developed into a parliament. 

Over the centuries, the English Parliament progressively limited the power of the English monarchy which arguably culminated in the English Civil War and the trial and execution of Charles I in 1649. After the restoration of the monarchy under Charles II, and the subsequent Glorious Revolution of 1688, the supremacy of Parliament was a settled principle and all future English and later British sovereigns were restricted to the role of constitutional monarchs with limited executive authority. The Act of Union 1707 merged the English Parliament with the Parliament of Scotland to form the Parliament of Great Britain. When the Parliament of Ireland was abolished in 1801, its former members were merged into what was now called the Parliament of the United Kingdom.",has parliament been limiting power of something, levy or collect any taxes 
120,"(EW.com) -- ""The Closer"" closed out Kyra Sedgwick's involvement in the series on Monday night, installing Mary McDonnell in her place, in a ""new"" series, ""Major Crimes."" 

While I have no inside information about how McDonnell was originally cast in ""The Closer,"" I'm led to think, based on the premiere episode that aired after the ""Closer"" finale, that she was never intended to be the new star of the show. Because the new show is, I believe, an inevitable disappointment for hardcore ""Closer"" fans. As for those of us who are Mary McDonnell fans? Ambivalence reigns! 

First of all, the exit of Sedgwick's Brenda Leigh Johnson. (This is your SPOILER ALERT.) 

""The Closer"" series finale brought closure to Deputy Chief Johnson's career, as she faced off with her long-running arch-nemesis, the serial rapist Philip Stroh (Billy Burke). Then Johnson abruptly accepted a new job (something like chief of bureau of investigations L.A. liason officer in the D.A.'s office -- it sounded like the longest-titled cushy job possible) and lit out, munching a signature bit of junk food. 

Over the years, ""The Closer"" had become a light-comedy crime show with heavy-handed humor performed not just by Sedgwick but also the supporting cast that has migrated over to ""Major Crimes,"" especially G.W. Bailey, whose slow burns have become endless fuming, and, only by contrast to a lesser extent, Tony Denison, Michael Paul Chan, Raymond Cruz, and Phillip P. Keene. (I've always found it interesting that Denison and Chan are veterans of two, need I say superior, Michael Mann TV shows, Crime Story and Robbery Homicide Division -- indeed, many of Chan's gestures and body language when he enters a crime scene strongly echo his moves in RHD, and I'd bet that's where he picked up those good habits, from Mann's heavily-researched series.) ",Did she have a bad guy she kept facing off with?,the serial rapist Philip Stroh (Billy Burke).
121,"Four years after Michael Jackson died, his oldest son is ready to tell a jury about the last days of his life. 

Prince Jackson, now 16, was 12 when he followed an ambulance carrying his father to Ronald Reagan UCLA Medical Center on the afternoon of June 25, 2009. 

On Monday, in the Jackson family's wrongful death lawsuit, Jackson lawyers informed AEG Live attorneys that Prince will be the next witness after a doctor who is an expert in medical conflicts of interest completes his testimony Tuesday. 

That would likely put Prince on the stand Wednesday, a day after the fourth anniversary of his father's death. 

Paris Jackson: Superstar's daughter builds own identity in spotlight 

Prince, Paris and Blanket Jackson and their grandmother Katherine Jackson are suing AEG Live, accusing their father's last concert promoter of negligently hiring, retaining or supervising Dr. Conrad Murray, who was convicted of involuntary manslaughter in Jackson's death. 

Jackson lawyers argue that the promoter and producer of the ""This Is It"" shows pressured Murray to get Jackson to rehearsals but failed to get Jackson help despite numerous red flags that he was in trouble. 

Murray told police he used the surgical anesthetic propofol nearly every night for two months to treat Jackson's insomnia. The coroner ruled that an overdose of propofol killed him. 

AEG Live lawyers argue that Jackson chose and supervised Murray and that their executives had no way of knowing the doctor was using the dangerous treatment. 

Remembering Michael Jackson's music 

A medical conflict of interest ",What hospital was he taken to?,to Ronald Reagan UCLA Medical Center 
122,"CHAPTER XXVIII 

THE GAME IS CALLED 

In her notions and schemes regarding the person and estate of Ralph Haverley, the good cook, La Fleur, lacked one great advantage possessed by her rival planner and schemer Miss Panney; for she whose cause was espoused by the latter old woman was herself eager for the fray and desirous of victory, whereas Cicely Drane had not yet thought of marrying anybody, and outside of working hours was devoting herself to getting all the pleasure she could out of life, not regarding much whether it was her mother or Miriam or Mr. Haverley who helped her get it. Moreover, the advantages of co-residence, which La Fleur naturally counted upon, were not so great as might have been expected; for Mrs. Drane, having perceived that Ralph was fond of the society of young ladies to a degree which might easily grow beyond her ideas of decorous companionship between a gentleman of the house and a lady boarder, gently interfered with the dual apple gatherings and recreations of that nature. For this, had she been aware of it, Dora Bannister would have been most grateful. 

Ralph had gone twice to see Congo, and to talk to Miss Bannister about him, but he had not taken the dog home. Dora said she would take him to Cobhurst the first time she drove over there to see Miriam. Congo would follow her and the carriage anywhere, and this would be so much pleasanter than to have him forced away like a prisoner. ",what was she spending all her time doing ?,devoting herself
123,"(CNN) -- In the end, it was Scotty who got beamed up. 

The ashes of late actor James Doohan, who played chief engineer Montgomery Scott in the original ""Star Trek"" television series and a series of subsequent films, were on the SpaceX rocket that launched a private spacecraft into orbit this week. 

Doohan's character was referenced in the ""Beam me up, Scotty"" catchphrase associated with ""Star Trek."" 

In various versions of the command, Capt. James T. Kirk, played by William Shatner, would ask his Scottish-descended colleague to activate a matter teleportation device that would transport Kirk or others to the starship Enterprise. 

While it is unclear if the exact phrase ""Beam me up, Scotty"" ever was uttered in a ""Star Trek"" episode, it became a popular bumper sticker and Doohan chose it for the title of his autobiography published in 1996. He died in 2005. 

Celestis, a company that provides memorial spaceflights, confirmed that some of Doohan's cremated remains were among 320 sets on the SpaceX Falcon 9 rocket launched Tuesday. 

Stellar week for SpaceX founder Elon Musk 

In addition, a portion of the cremated remains of Mercury 7 astronaut Gordon Cooper also were on board, the company confirmed. 

The Falcon 9 rocket, which carried up the SpaceX Dragon craft for a possible rendezvous this week with the International Space Station, is expected to remain in orbit for months until burning up when it falls back into the Earth's atmosphere. 

""He would rather have flown when he was alive, of course,"" said Doohan's widow, Wende Doohan, who watched the SpaceX launch Tuesday with the couple's 12-year-old daugher, one of three children from a 31-year marriage. ",Did he actually say it in an episode?,"While it is unclear if the exact phrase ""Beam me up, Scotty"" ever was uttered "
124,"CHAPTER XXIV 

AGATHA RESUMES HER JOURNEY 

There was silence for a minute or two after Agatha had spoken, and then Father Lucien said, ""Now we know what Driscoll looked for. Few secrets can be kept."" 

Thirlwell gave him a warning glance that Agatha did not note. She was gazing across the river, her face towards the North, as if she had forgotten the others, but she presently roused herself. 

""Can we start to-morrow?"" she asked. 

""No,"" said Thirlwell firmly, ""you must rest for two or three days, and there are a number of things to be got."" 

""I don't think I can rest until I have seen the lode."" 

""You will have to try. It may be some time yet before we find the spot. For one thing, the directions aren't complete. You see they stop--"" 

Agatha took the paper. ""Yes; I hadn't noticed that. It begins very clearly and then breaks off. I wonder why."" 

Thirlwell said nothing. It looked as if Strange had been interrupted; the shakiness of the last few lines hinted that they had been written in haste. There was a space between the last and the bottom of the paper. Perhaps Driscoll had joined him and he had distrusted the man, who might have come into the camp while he was writing. Then, when he afterwards sealed the box, he had forgotten that he had not finished what he meant to say; but, if the supposition were correct, this was not remarkable. Strange might have taken some liquor with him. But Agatha must not suspect. ",What do they say about it?,"""No,"
125,"Guatemala, officially the Republic of Guatemala (), is a country in Central America bordered by Mexico to the north and west, the Pacific Ocean to the southwest, Belize to the northeast, the Caribbean to the east, Honduras to the east and El Salvador to the southeast. With an estimated population of around /1e6 round 1 million, it is the most populated state in Central America. Guatemala is a representative democracy; its capital and largest city is Nueva Guatemala de la Asunción, also known as Guatemala City. 

The territory of modern Guatemala once formed the core of the Maya civilization, which extended across Mesoamerica. Most of the country was conquered by the Spanish in the 16th century, becoming part of the viceroyalty of New Spain. Guatemala attained independence in 1821 as part of the Federal Republic of Central America, which dissolved in 1841. 

From the mid to late 19th century, Guatemala experienced chronic instability and civil strife. Beginning in the early 20th century, it was ruled by a series of dictators backed by the United Fruit Company and the United States government. In 1944, authoritarian leader Jorge Ubico was overthrown by a pro-democratic military coup, initiating a decade-long revolution that led to sweeping social and economic reforms. A U.S.-backed military coup in 1954 ended the revolution and installed a dictatorship.",Did they ever become independent?,Guatemala attained independence in 1821 
126,"A 13-year-old boy traveled to Washington, D.C. to raise money for homeless kids. Zach Bonner was pretty tired. Instead of going to camp last summer, Zach decided to walk 668 miles from Atlanta to Washington, D.C. He hoped more people would help homeless kids. His journey to help others began six years ago. Zach walked from his home in Tampa to Tallahassee. Then, in 2008, Zach Bonner went on a 270-mile walk from Tallahassee to Atlanta. In 2010, he did it again, from Tampa to Los Angeles. Last summer, Zach traveled 12 miles every day on foot. Along the way, he collected more than 1000 letters about homeless children. He hoped to give the letters to President Obama. Zach says he wants his walk to make a difference. More than 1 million children in the U.S. have nowhere to live. During his journey, Zach spent 24 hours with some homeless children so he could learn the difficulties they face. When Zach walked the last mile of his long journey, more than 500 supporters, including 300 homeless kids, joined Zach. They went with him down the National Mall. ""It was a long walk,"" Zach says, ""but it was meaningful."" Although the journey is difficult and tiring, Zach won't give up. ""When homeless kids get tired of being homeless, they don't get to stop. So why should I stop when I get tired of walking?""",On foot?, 12 miles every day on foot
127,"Pope Francis (; ; ; born Jorge Mario Bergoglio; 17 December 1936) is the 266th and current Pope of the Catholic Church, a title he holds ""ex officio"" as Bishop of Rome, and sovereign of Vatican City. He chose Francis as his papal name in honor of Saint Francis of Assisi. Francis is the first Jesuit pope, the first from the Americas, the first from the Southern Hemisphere, the first to choose a name not used by a predecessor since Lando in 913 AD, and the first pope from outside Europe since the Syrian Gregory III, who reigned in the 8th century. 

Born in Buenos Aires, Argentina, Bergoglio worked briefly as a chemical technologist and nightclub bouncer before beginning seminary studies. He was ordained a Catholic priest in 1969, and from 1973 to 1979 was Argentina's provincial superior of the Society of Jesus (Jesuits). He became the Archbishop of Buenos Aires in 1998 and was created a cardinal in 2001 by Pope John Paul II. He led the Argentine Church during the December 2001 riots in Argentina, and the administrations of Néstor Kirchner and Cristina Fernández de Kirchner considered him a political rival. Following the resignation of Pope Benedict XVI on 28 February 2013, a papal conclave elected Bergoglio as his successor on 13 March.",How long did he hold that?,from 1973 to 1979 was Argentina's provincial superio
128,"(CNN) -- Swedish golfer Henrik Stenson carded a solid 69 in the opening round of the WGC-CA Championship but it was his highly unusual recovery shot on the 12th on the Blue Monster course at Doral which raised more than a few eyebrows. 

Stenson did not leave much to the imagination with his Doral antics. 

Stenson stripped down to the bare essentials -- a pair of white boxer shorts -- before wading into the mud to hack out his ball after an wayward tee shot. 

The watching galleries could hardly believe their eyes as the tall Swede peeled off his clothes. 

""Shirt, trousers, socks, shoes, hat, the lot was off,"" he told the Press Association. 

""Because of the mud I couldn't really afford to play in any of my clothes as they would have been a real mess down the last six or so holes so I had no option,"" Stenson explained. 

After getting the ball back on to the fairway, Stenson eventually made a one-over par bogey on the hole when he could have dropped at least two shots by taking a drop. 

""If you are saving a shot, that has to be worth taking your shirt and trousers,"" he added. 

What do you think of Stenson's cheeky recovery shot ? 

The incident proved the main talking point on the day that Tiger Woods made his return to strokeplay golf and 32-year-old Stenson jokingly said it might offer a new avenue for sponsorships. 

""Absolutely, you never know, after this I might have a new endorsement with PlayGirl or something like that."" ",What did he leave on?,Stenson stripped down to the bare essentials -- a pair of white boxer shorts
129,"Different people have different hobbies. For example, some people like reading, some people like swimming and some people like collecting something and so on. I have many hobbies, such as reading, skating, and traveling. I used to read books in my free time. I like reading because I could learn much by reading. At that time, reading was part of my life. Every day, I spent most of my free time reading books, newspapers and magazines. At night, I could hardly get to sleep without a novel in my hand. But later I found I could only learn from books by reading. I couldn't get knowledge from others. I needed a _ . Traveling is my hobby now. I can visit many different places by traveling. I can learn a lot about people, geography and history. It's very interesting. I have many good friends. They all have their hobbies. Ann studies very hard. So her hobby is reading all kinds of books. Tony loves working with her hands, and his hobby is gardening. He usually plants flowers and trees in his yard. Judy is a quiet girl. She likes knitting . She always knits sweaters for her dolls. We have different hobbies, but we are all good friends. (5)",What does Tony plant?,flowers and trees
130,"Windows Vista (codenamed Longhorn) is an operating system by Microsoft for use on personal computers, including home and business desktops, laptops, tablet PCs and media center PCs. Development was completed on 8 November 2006, and over the following three months, it was released in stages to computer hardware and software manufacturers, business customers and retail channels. On 30 January 2007, it was released worldwide and was made available for purchase and download from the Windows Marketplace. The release of Windows Vista came more than five years after the introduction of its predecessor, Windows XP, the longest time span between successive releases of Microsoft Windows desktop operating systems. It was succeeded by Windows 7, which was released to manufacturing on 22 July 2009 and released worldwide for retail on 22 October 2009. 

New features of Windows Vista include an updated graphical user interface and visual style dubbed Aero, a new search component called Windows Search, redesigned networking, audio, print and display sub-systems, and new multimedia tools such as Windows DVD Maker. Vista aimed to increase the level of communication between machines on a home network, using peer-to-peer technology to simplify sharing files and media between computers and devices. Windows Vista included version 3.0 of the .NET Framework, allowing software developers to write applications without traditional Windows APIs.",How?," Vista aimed to increase the level of communication between machines on a home network, using peer-to-peer technology"
131,"Chapter LII. L'homme propose, et Dieu dispose. 

Captain Bennydeck met Catherine and her child at the open door of the room. Mrs. Presty, stopping a few paces behind them, waited in the passage; eager to see what the Captain's face might tell her. It told her nothing. 

But Catherine saw a change in him. There was something in his manner unnaturally passive and subdued. It suggested the idea of a man whose mind had been forced into an effort of self-control which had exhausted its power, and had allowed the signs of depression and fatigue to find their way to the surface. The Captain was quiet, the Captain was kind; neither by word nor look did he warn Catherine that the continuity of their intimacy was in danger of being broken--and yet, her spirits sank, when they met at the open door. 

He led her to a chair, and said she had come to him at a time when he especially wished to speak with her. Kitty asked if she might remain with them. He put his hand caressingly on her head; ""No, my dear, not now."" 

The child eyed him for a moment, conscious of something which she had never noticed in him before, and puzzled by the discovery. She walked back, cowed and silent, to the door. He followed her and spoke to Mrs. Presty. 

""Take your grandchild into the garden; we will join you there in a little while. Good-by for the present, Kitty."" 

Kitty said good-by mechanically--like a dull child repeating a lesson. Her grandmother led her away in silence. ",Had someone fallen far behind?,"Mrs. Presty, stopping a few paces behind them, waited in the passage; eager to see what the Captain's face might tell her. It told her nothing. "
132,"Walt Disney began to make cartoon movies when he was young. But he didn't have much money and he didn't always have enough to eat. One day a mouse ran near his desk when he worked in his small office. ""Would you like to be my pet? ""Disney asked the mouse. He caught the mouse and kept it as a pet. A few years later, Disney decided to make a cartoon about it. ""I am making a cartoon about a mouse named Mortimer,"" he told his wife. ""Mortimer Mouse? I think Mickey Mouse would be a better name."" She said. ""You are right!"" Disney agreed and made many Mickey Mouse cartoons. People all over the world saw Mickey and loved it. Mickey Mouse made Disney famous. Then come Donald Duck, and Goofy Dog and others. Disney began to make full length cartoons. Then he made cartoon movies for television. Millions of children watched the shows every week. In California, real boats, castles , trains, mountains, rivers, all in one beautiful park. Millions of people came to Disneyland. He died in 1966, but the world will not forget him quickly. Mickey Mouse and all his cartoons will help us to remember him.",what is a person ?," One day a mouse ran near his desk when he worked in his small office. ""Would you like to be my pet?"
133,"CHAPTER 6. 

AN APPRENTICESHIP TO THE TEMPLE. 

The action of our characters during the night included in the last two chapters has now come to a pause. Vetranio is awaiting his guests for the banquet; Numerian is in the chapel, preparing for the discourse that he is to deliver to his friends; Ulpius is meditating in his master's house; Antonina is stretched upon her couch, caressing the precious fragment that she had saved from the ruins of her lute. All the immediate agents of our story are, for the present, in repose. 

It is our purpose to take advantage of this interval of inaction, and direct the reader's attention to a different country from that selected as the scene of our romance, and to such historical events of past years as connect themselves remarkably with the early life of Numerian's perfidious convert. This man will be found a person of great importance in the future conduct of our story. It is necessary to the comprehension of his character, and the penetration of such of his purposes as have been already hinted at, and may subsequently appear, that the long course of his existence should be traced upwards to its source. 

It was in the reign of Julian, when the gods of the Pagan achieved their last victory over the Gospel of the Christian, that a decently attired man, leading by the hand a handsome boy of fifteen years of age, entered the gates of Alexandria, and proceeded hastily towards the high priest's dwelling in the Temple of Serapis. ",Who will be a person of significance later in the story?,Numerian's perfidious convert. This man will be found a person of great importance
134,"Historically, the channel's programming consisted mainly of featured classic theatrically released feature films from the Turner Entertainment film library – which comprises films from Warner Bros. Pictures (covering films released before 1950) and Metro-Goldwyn-Mayer (covering films released before May 1986). However, TCM now has licensing deals with other Hollywood film studios as well as its Time Warner sister company, Warner Bros. (which now controls the Turner Entertainment library and its own later films), and occasionally shows more recent films. Turner Classic Movies is a dedicated film channel and is available in United States, United Kingdom, France (TCM Cinéma), Spain (TCM España), Nordic countries, Middle East and Africa. 

In 1986, eight years before the launch of Turner Classic Movies, Ted Turner acquired the Metro-Goldwyn-Mayer film studio for $1.5 billion. Concerns over Turner Entertainment's corporate debt load resulted in Turner selling the studio that October back to Kirk Kerkorian, from whom Turner had purchased the studio less than a year before. As part of the deal, Turner Entertainment retained ownership of MGM's library of films released up to May 9, 1986. Turner Broadcasting System was split into two companies; Turner Broadcasting System and Metro-Goldwyn-Mayer and reincorporated as MGM/UA Communications Co.",What's one of them?,United States
135,"DALLAS, Texas (CNN) -- Texas terrorism suspect Hosam Smadi recorded a seven-minute video message for al Qaeda mastermind Osama bin Laden before his arrest on charges of plotting to blow up a Dallas building, an FBI agent testified Monday. 

Hosam Maher Husein Smadi said through his lawyer that he understood the charges Friday. 

No details of the message were provided in court. But FBI Special Agent Thomas Petrowski said the video was recorded in a hotel room with the assistance of undercover FBI operatives and Smadi intended for it to be delivered to or seen by bin Laden, the fugitive leader of the terrorist network behind the September 11, 2001, attacks on New York and Washington. 

Smadi, a 19-year-old Jordanian living in the United States illegally, is charged with plotting to set off a bomb at the base of the 60-story Fountain Plaza office tower in downtown Dallas. He was arrested September 24 after federal agents said he tried to trigger an improvised bomb attached to a vehicle at the base of the building. 

At a brief hearing in Dallas on Monday, Magistrate Judge Irma Ramirez ordered Smadi bound over for future hearings. Peter Fleury, the public defender representing Smadi, told reporters that his client remains held under immigration law, with no bail set. 

Fleury called his client ""a scared 19-year-old kid held away from his family,"" who could face additional charges from a grand jury. Prosecutors don't have to share the evidence against Smadi until after a grand jury acts, so lawyers don't know the full extent of the case against him, Fleury said. ",What was the bomb connected to?,a vehicle
136,"CHAPTER VI. 

The abrupt disappearance of Jack Hamlin and the strange lady and gentleman visitor was scarcely noticed by the other guests of the Divide House, and beyond the circle of Steptoe and his friends, who were a distinct party and strangers to the town, there was no excitement. Indeed, the hotel proprietor might have confounded them together, and, perhaps, Van Loo was not far wrong in his belief that their identity had not been suspected. Nor were Steptoe's followers very much concerned in an episode in which they had taken part only at the suggestion of their leader, and which had terminated so tamely. That they would have liked a ""row,"" in which Jack Hamlin would have been incidentally forced to disgorge his winnings, there was no doubt, but that their interference was asked solely to gratify some personal spite of Steptoe's against Van Loo was equally plain to them. There was some grumbling and outspoken criticism of his methods. 

This was later made more obvious by the arrival of another guest for whom Steptoe and his party were evidently waiting. He was a short, stout man, whose heavy red beard was trimmed a little more carefully than when he was first known to Steptoe as Alky Hall, the drunkard of Heavy Tree Hill. His dress, too, exhibited a marked improvement in quality and style, although still characterized in the waist and chest by the unbuttoned freedom of portly and slovenly middle age. Civilization had restricted his potations or limited them to certain festivals known as ""sprees,"" and his face was less puffy and sodden. But with the accession of sobriety he had lost his good humor, and had the irritability and intolerance of virtuous restraint. ",Where were they before they went missing?,"The abrupt disappearance of Jack Hamlin and the strange lady and gentleman visitor was scarcely noticed by the other guests of the Divide House, "
137,"International Futures (IFs) is a global integrated assessment model designed to help in thinking strategically and systematically about key global systems (economic, demographic, education, health, environment, technology, domestic governance, infrastructure, agriculture, energy and environment) housed at the Frederick S. Pardee Center for International Futures. Initially created by Barry B. Hughes of the Josef Korbel School of International Studies at the University of Denver in Colorado, the model is free for public use in both its online and downloadable forms. 

The Pardee Center for International Futures has partnered with many organizations to produce forecasts and data analysis. IFs has been utilized in the National Intelligence Council's ""Global Trends 2020"", ""Global Trends 2025"", and ""Global Trends 2030"" report. The International Futures model has also contributed to the United Nations ""Human Development Report"" and the ""Global Environmental Outlook"". 

IFs is hosted free for public use by Google Public Data Explorer, the Atlantic Council, and the Institute for Security Studies. 

The model incorporates dynamically linked sub-models. They include: population, economic, agricultural, educational, energy, socio-political, international political, environmental, health, infrastructure and technology. IFs is a unique modeling tool because it endogenizes the impact of such a wide range of global systems for 183 countries. 

The help system that accompanies the software provides an extensive overview of the model structure and computer code used to write the model. IFs has three main functions, all connected to its conceptual treatment of integrated assessment forecasts: data analysis, scenario analysis, and display.",What does IFs stand for?,International Futures
138,"CHAPTER XX. 

FLIGHT AND PURSUIT. 

Lieutenant Radbury's party had come up to the ravine at a point opposite to the cave, about half an hour before Dan attempted to make his escape. 

""I see nothing of the Mexicans here,"" he remarked to Poke Stover, as he swept the ravine from one end to the other with his well-trained eye. 

""No more do I see anything,"" answered the old frontiersman. ""But they may be behind yonder rocks, leftenant. If ye say the word, I'll climb down and scout around a bit."" 

""There is a cave among yonder rocks,"" put in another of the Texans. ""It is called Haunted Rock by the Indians. The Comanches used to use it as a meeting-place when they were out for plunder. I've often heard old Si Bilkens tell about it."" 

""I have heard of such a cave,"" answered Amos Radbury. ""If the Mexicans knew of it, they might think it just the right sort of a hiding-place. Yes, Poke, you can scout around. But be careful. They may be watching for a shot."" 

The frontiersman nodded, to show that he understood, and went off immediately on foot, it being impossible to go down the ravine's side on mustang-back, no matter how sure-footed the animal might be. 

The descent into the ravine took time, and Poke Stover was still some distance from the cave's entrance when he heard a commotion among the bushes and rocks. 

""A mustang a-comin' this way,"" he muttered to himself. ""And somebody ridin', too. It must be one of them dirty greasers trying to git away. I'll cut him short."" ",Did they seen any Mexicans?,"""I see nothing of the Mexicans here,"" "
139,"Confronted by police trying to arrest him for allegedly selling illegal cigarettes, Eric Garner raised both hands in the air and, with passive defiance, told the officers not to touch him. Seconds later, a video shows the officer behind him grab the 350-pound man in a chokehold and pull him to the sidewalk, rolling him onto his stomach. 

""I can't breathe! I can't breathe!"" Garner said repeatedly, his cries muffled into the pavement. 

The video of the Thursday skirmish shows the Staten Island man lying on the ground motionless after the incident. An asthmatic, Garner was later declared dead at a nearby hospital, according to CNN affiliate WCBS. Police said he suffered a heart attack and died en route to the hospital. 

""This is a terrible tragedy that occurred yesterday. A terrible tragedy that no family should have to experience,"" said New York Mayor Bill de Blasio, calling the video of the incident ""very troubling."" 

Police told WCBS that 43-year-old Garner, a father of six, had a lengthy criminal history and had been previously arrested for selling untaxed cigarettes in May. 

Officer Daniel Pantaleo, who is seen on video choking Garner, was put on modified assignment and stripped of his shield and gun as the New York Police Department continues to investigate the incident, WCBS reported. The chokehold tactic is prohibited by the NYPD. 

Two EMTs and two paramedics have been suspended without pay, Erika Hellstrom, vice president of development at Richmond University Medical Center, said in an e-mail. 

In a statement, Patrolmen's Benevolent Association President Patrick J. Lynch called Pantaleo's reassignment ""a completely unwarranted, kneejerk reaction for political reasons."" He said the move ""effectively pre-judges this case and denies the officer the very benefit of a doubt that has long been part of the social contract that allows police officers to face the risks of this difficult and complex job."" ",what was it?,"An asthmatic, Garner was later declared dead "
